职位,薪金范围,所在地,学历,工作年限,语言,年龄,员工福利,岗位职责,任职要求,所属部门,专业要求,汇报对象,下属人数,行业,公司规模,应聘查看率,是否仅限VIP查看
HR BP,"18-36万
                                        

"," 
北京-朝阳区
",统招本科,5年以上,语言不限,年龄不限,"股票期权,绩效奖金,带薪年假,交通补助,通讯津贴,午餐补助,定期体检,年度旅游,节日礼物,扁平管理,团队聚餐,五险一金,岗位晋升,发展空间大,管理规范,年终奖丰厚,",职责描述：1、根据公司发展目标，在招聘、组织发展和人力资源分析等方面协助分公司或业务部门开展工作；2、负责公司HR政策、制度、体系与重点项目在业务部门内部的落地与推动执行； 3、调动HR各模块资源，统筹HR工作计划及执行，为业务提供解决方案并落地执行； 4、推动组织效能持续提升，确保公司战略、文化、管理理念的落地。5、管理现有招聘渠道并开拓新的渠道、拓展新的分公司或业务部门；,"要求：1、本科及以上学历；2、3年以上的相关岗位工作经验，思维逻辑清晰，沟通能力强；3、有私募、财富管理、券商、银行等金融相关公司从业经验；4、有金融圈人脉资源；5、能独立地对中高层人才进行面试考核；6、有商务或者业务经验优先。
                            ",人力资源（集团）,不限,无,0人,基金/证券/期货/投资,100-499人,93%,
HR 招聘岗,"面议
                                        

"," 
北京
",统招本科,2年以上,语言不限,年龄不限,"带薪年假,交通补助,通讯津贴,定期体检,节日礼物,领导好,管理规范,技能培训,团队聚餐,上市公司,发展空间大,绩效奖金,岗位晋升,五险一金,生育补贴,公司规模大,",主要职责：对接研发等部门招聘1、招聘管理：依据年度招聘计划，完成日常招聘工作，为业务部门获取优秀人才， 包括：前期需求的沟通、候选人寻访、初试、复试跟进、背调、offer沟通、员工入职手续办理等2、领导交办的其他临时性任务,"资格1、本科，英文熟练2、至少一年以上研发类职位招聘经验，如有医药行业猎头工作经验者优先3、具有较强的责任心、学习能力，具有敏锐的洞察力，优秀的沟通表达和协调能力，能承担一定的工作压力，勇于面对挑战
                            ",人力资源部,不限,无,0人,制药/生物工程,500-999人,30%,
HR发展专员,"面议
                                        

"," 
杭州
",本科及以上,3年以上,语言不限,年龄不限,"领导好,技能培训,发展空间大,岗位晋升,五险一金,弹性工作,免费班车,服装补助,交通补助,年度旅游,带薪年假,优秀员工奖,",职责描述：1、在上级的领导下进行招聘与培训相关工作，并能独立处理和解决所负责的任务；2、建立及完善公司的招聘流程；管理及开发招聘渠道，了解掌握各部门的用人需求；发布招聘广告、进行简历筛选、组织面试等工作；3、建立及完善公司培训体系及相关制度、流程，并具体实施培训工作；4、拓展培训渠道和资源，评估外部培训机构及师资，并负责内部培训师团队的建设；5、建设、发展、宣传企业文化,"要求：1、人力资源管理或相关专业本科以上学历，三年以上人力资源管理经验；2、熟悉招聘流程，熟练运用各种招聘工具和手段，丰富的招聘经验及技巧，熟悉国家相关法律法规；3、熟练掌握企业培训需求调查技术和方法，有年度培训计划制订经验，具备较丰富的培训活动策划、实施、监控经验，掌握培训效果评估方法；4、思维敏捷，具有较强的组织、协调、沟通能力及分析问题、解决问题的能力，良好的文字和语言表达能力；5、具有良好的职业道德和职业操守及良好的团队合作意识
                            ",人力资源部,不限,无,0人,检测/认证,100-499人,30%,
GTD-HR-006：招聘专员,"5-8万
                                        

"," 
广州
",统招本科,2年以上,语言不限,年龄不限,"五险一金,年底双薪,午餐补助,带薪年假,定期体检,年度旅游,节日礼物,发展空间大,",岗位职责：1、负责公司把握、解决公司招聘需求；2、独立负责对应聘人员进行电话面试、面试工作；3、组织候选人参与面试复试过程；4、招聘工作进度的记录，出具周、月度、季度招聘报表。,"资格：1、本科及以上学历，理工科专业背景优先；2、至少2年以上人力资源等相关工作经验，有猎头相关工作经验优先；3、具备一定的招聘实操经验技巧，具备一定的招聘渠道资源；4、敏锐的行业触觉，良好的沟通能力以及执行能力。
                            ",人力资源部,不限,无,0人,电子技术/半导体/集成电路,1000-2000人,71%,
"Senior HR Specialist, Talent Acquisition","18-24万
                                        

"," 
上海
",统招本科,6年以上,语言不限,年龄不限,"绩效奖金,带薪年假,通讯津贴,领导好,节日礼物,定期体检,管理规范,五险一金,发展空间大,子女福利,公司规模大,岗位晋升,","Summary:The Senior Recruiter will build strong client relationships with Managing Partners and hiring managers, work closely with peers in HR and Recruiting. Will own and facilitate the recruiting process (scoping recruiting requirements, sourcing, screening, interviewing, feedback/decision, offer, and post-offer) full life cycle. Will consult with the hiring authority to develop sound sourcing and staffing plans (print and/or online advertising, job posting, networking, search firms, etc.) and then execute those plans. Additionally, may be asked to support other corporate, HR, or Recruiting continuous process improvement initiatives such as an Intern/Co-op program, University Relations program, diversity recruiting, interview training, and Hiring Manager training and overall recruiting methodologies, process and workflow.SCOPE AND RESPONSIBILITIES:-	Employ a consultative approach to executing sourcing strategies that ensure efficient, cost-effective recruitment processes for a number of China all based business groups. -	Regularly utilize and evaluate diverse sourcing methods including internet sites, employee referrals, networking forums and competitive intelligence.-	Partner with HR and Hiring Managers to conduct job analysis and determine required criteria for opening requisitions.-	Communicating and supporting the established internal recruitment processes-	Manage and maintain internal requisition management systems and posting functions-	Pre-screen resumes/applicants to identify strong candidates with a focus on Information Technology-	Provide assessment to hiring managers on candidates applicable strengths/weaknesses-	Manage scheduling and communication with candidates throughout the interview process.-	Understand compensation structures and appropriately negotiating offers with candidates.-	Communicating challenges/solutions that will result in improvements to the recruiting process-	Gain an understanding of the industry that is specific to the business lines being supported-	Ensure compliance with applicable federal employment laws-	Build a consistent pipeline network of candidates to support current and future hiring needs and potential growth opportunities.Position Requirements:-	Bachelor's degree in Business or equivalent.-	7+ years of recruiting experience, at least 3 years in a corporate environment -	Experience in recruiting in industry environment.-	Demonstrated ability to handle high quality, multi-location/multi-geography recruitment-	Ability to communicate effectively with remote hiring managers, third-party providers and candidates at all levels.-	Strong MS Office skills, Internet navigation and familiarity with requisition management systems
",,HR,不限,无,0人,机械制造/机电/重工,2000-5000人,30%,
HR Generalist 高级人力资源专员(003081),"面议
                                        

"," 
广州
",本科及以上,3年以上,英语 + 普通话 + 粤语,年龄不限,"带薪年假,领导好,生育补贴,五险一金,岗位晋升,子女福利,优秀员工奖,定期体检,",岗位职责:Responsibilities:	Manages complex HR agenda with the line managers in the business unit	Work with managers in dealing with employees in difficult situations	Work closely with Recruiting Consultant to recruit employees in the business unit	Identifies key talents in the business unit and prepares the individual development plans for key talents	Handles difficult situations in the business unit and trains managers in the employee relations	Oversees HR administration in the business unit and solves difficult situations	Implements  the  HR  Strategy  in  close  cooperation  with  line  managers  and  the  HR Business Partner	Supports managers in new employee induction and terminations of departing employees	Speaks regularly with top talents and identifies new job opportunities for them	Engages in different people management projects in the business unit	Develops line managers in their leadership and management skills	Provides the instant feedback to line managers about their people management practices	Assist with non-clinical training activities.,"资格:Qualifications:	Bachelor level degree preferred	3 years minimum working experience in HR functions Skills:	Computer skills: Windows, MS Office, Internet	Fluent English and Chinese	Skill in establishing and maintaining effective working relationships with employees and the public.	Good at organizing daily work	Can work independently and take job initiative	Fast learning skill	Good communication and interpersonal skills	Team spiritKnowledge:	Familiarity with Chinese Labor Law	Solid knowledge of HR
                            ",行政,不限,无,0人,医疗/保健/美容/卫生服务,2000-5000人,65%,
HR/招聘主管/招聘专家,"13-20万
                                        

"," 
北京-朝阳区
",统招本科,2年以上,语言不限,年龄不限,"带薪年假,扁平管理,弹性工作,休闲餐点,发展空间大,团队聚餐,五险一金,岗位晋升,股票期权,定期体检,领导好,节日礼物,","岗位职责：1、负责协助BOSS制定公司阶段性招聘策略及落地执行2、支持公司各部门岗位招聘，负责梳理，分析和优化招聘流程，有效管理及优化招聘渠道3、深入职位分析，负责团队招募，甄选，评估候选人，人才地图构建，完成公司招聘目标4、以雇主品牌建设为目标，帮助公司建立战略性人脉圈，成为公司和行业资深人士的连接者5、参与招聘体系建设及相关的优化职位要求：1、统招本科及以上学历2、两年以上专注互联网行业的招聘工作经验3、工作主动性强，为人耐心细心，有较强的行动力与执行力4、熟悉互联网行业，擅长技术、产品等职位的招聘5、具有良好的沟通能力，协调能力及分析判断能力
                            ",,人事行政部,不限,COO,0人,互联网/移动互联网/电子商务,50-99人,96%,
hr,"

我感兴趣 请联系我
","
昆明-盘龙区
        ",本科,2年经验,,,,"
       ","要求：
1、人力资源、工商管理等专业大专以上学历，从事人事行政工作l两年以上
2、熟悉人力资源六大模块的工作流程，尤其对招聘管理及绩效管理有实操经验
3、熟悉行政工作流程，企业资产管理及工作对接工作；
4、具备较好的表达、沟通、组织、协调能力和时间管理能力及语言表达能力
岗位职责：
1、协助人力资源总监修订公司相关人事行政管理制度
2、主导公司各岗位人才简历筛选及招聘预约工作，为公司简历人才库体系
3、根据绩效考核结果对员工进行奖惩，并收集绩效考核制度的问题和效果
4、协助上级开展招聘、培训、薪酬福利、员工关系等人力资源工作
分享
微信邮件
      ",,,,,,,,
HR（招聘方向）,"8-14万
                                        

"," 
深圳-宝安区
",学历不限,经验不限,普通话,年龄不限,"领导好,技能培训,岗位晋升,发展空间大 ,",岗位职责：1、有效地维护并拓展招聘渠道；有深圳本地人才资源；2、掌握技术人员和其他岗位的招聘重点及用人需求；3、执行招聘计划，发布招聘广告，收集简历，进行简历初步筛选，候选人电话初步沟通，整理有效简历信息；4、负责整个招聘进程、跟踪面试结果；5、人员招聘、留存的情况跟踪及分析，以便对招聘活动进行有效的评估；6、和候选人洽谈offer，跟踪入职；7、做好员工转正前的日常管理维系工作，协助本部及各部门相关工作；,"要求：1. 人力资源外包公司（中软、软通动力、Fesco、文思海辉）或知名猎头公司从业过相关工作2. 一年以上工作经验3. 熟练掌握办公软件，EXCEL数据透视等，会用报表展示公司入职、面试等招聘数据。4.有过内部培训经验优先。分享微信邮件
                            ",,不限,无,0人,网络游戏,100-499人,42%,
HR Supervisor-招聘及员工关系方向,"6-8万
                                        

"," 
成都
",本科及以上,3年以上,普通话,年龄不限,"领导好,技能培训,岗位晋升,发展空间大 ,",工作描述：1、协助上级建立健全公司招聘、培训、工资、保险、福利、绩效考核等人力资源制度建设；2、根据公司年度招聘计划，牵头负责完成招聘任务，包括执行招聘工作流程，管理维护招聘渠道；3、根据部门人员配置更新岗位说明书，优化人力资源管理各项实务的操作流程和各类规章制度的实施；4、收集相关的劳动用工等人事政策及法规规避企业劳动用工风险；5、帮助建立员工关系，协调员工与管理层的关系，组织员工的活动；6、上级领导交办的其他工作。,"资格1、本科以上学历，三年以上人力人力资源工作经验，1年以上招聘方向工作经验2、熟悉人力资源管理各项实务的操作流程，熟悉国家各项劳动人事法规政策，并能实际操作运用；3、具有良好的职业道德，踏实稳重，工作细心，责任心强，有较强的沟通、协调能力，有团队协作精神；4、熟练使用Word、Excel、PPT等办公软件，具备基本的计算机知识。分享微信邮件
                            ",,不限,无,0人,IT服务/系统集成,100-499人,100%,
