职位,薪金范围,所在地,学历,工作年限,语言,年龄,员工福利,岗位职责,任职要求,所属部门,专业要求,汇报对象,下属人数,行业,公司规模,应聘查看率,是否仅限VIP查看
hrbp,,,,,,,,,,,,,,,,,
HRBP,"7-11万
                                        

"," 
襄阳
",统招本科,2年以上,语言不限,年龄不限,"绩效奖金,带薪年假,交通补助,通讯津贴,午餐补助,定期体检,管理规范,技能培训,五险一金,上市公司,公司规模大,优秀员工奖,",工作职责：1、在区域公司管理团队及大区人资部指导下，组织及实施区域公司人力资源规划；2、制定、优化区域公司人力资源管理制度与流程；3、优化区域公司评价体系，并组织实施；4、实施人员招聘与配置工作；5、探索建立领导力发展与员工发展体系；6、参与组织开展人事管理与人事信息化工作。,"资格：1、全日制统招一本及以上学历，211、985院校优先；人力资源管理、劳动与社会保障、工商管理、心理学等相关专业；2、2年以上规模企业人力资源管理工作经验，熟悉人力资源六大模块其中1-2项专业技能；3、具有较强的语言表达与计划执行能力。
",华润电力华中大区,不限,无,0人,能源(电力/水利),10000人以上,30%,
HRBP,"面议
                                        

"," 
上海
",统招本科,6年以上,语言不限,年龄不限,"绩效奖金,带薪年假,交通补助,午餐补助,免费班车,团队聚餐,五险一金,岗位晋升,",工作职责：1深入了解所负责业务团队的进展和人力资源现状，贴近、熟悉业务，配合组织结构的调整和优化；2、明确负责业务团队的组织能力需求，进行组织诊断，评估并明确人才发展，帮助业务负责人迅速建立团队，且做好人才梯队建设；3、确保HR各项政策、制度、流程在业务团队的沟通落地并推动执行，涉及政策、制度、流程的反馈和建议，能为员工做出良好的制度解答，并可对员工反馈问题于制度建立中提出建议；4、确保企业文化在团队内的落地，保障文化的一致性；5、熟悉人力资源各大模块，包括人力资源规划、招聘与配置、培训与开发、绩效管理、薪酬福利管理、员工关系管理，为业务部门提供有效的解决方案并实施；6、协助管理层进行人才管理、团队发展、企业文化建设等。 ,"资格：1、6年以上HR工作经验，其中至少2年以上互联网公司的HRBP/HRM经验，熟悉互联网公司文化及氛围，有互联网行业tops公司背景优先考虑；2、大学本科及以上学历，管理类相关专业优先，英文沟通良好优先；3、在培训、人才管理、企业文化、员工关系等专业模块有一定经验积累，并在某一专业模块擅长，遇到问题时能够快速准确做出专业判断和决策，并具有扎实的执行力和推动力； 4、核心能力：1）极强的韧性，能够在高压和挫折下，还能坚持完成工作2）极具正能量，能够正面积极的应对各类负面事件3）具备空杯的心态，能够听取有效建议4）具备较强的逻辑思考能力、沟通能力、学习能力，积极主动，有责任心，抗压性强；5）性格开朗，具较强的语言表达能力、人际交往能力、应变能力，沟通能力及解决问题的能力，亲和力强，较强的责任感与敬业精神，具一定的大局观。
",人力资源部,不限,无,0人,互联网/移动互联网/电子商务,100-499人,30%,
HRBP,"7-10万
                                        

"," 
上海-闵行区
",大专及以上,2年以上,普通话,年龄不限,"领导好,技能培训,岗位晋升,发展空间大 ,","工作职责：1 . 负责相关绩效考核制度、培训体系落地与推动执行；2. 深入了解所负责商场展厅人员发展状况，评估并明确组织与人才发展对HR的需求；3、根据业务部分人员需求，独立完成人员招聘工作；4. 关注关键人才融入与培养，确保持续的沟通与反馈；5. 协助管理层进行人才管理、团队发展、组织氛围建设等，确保公司文化在所属业务领域的落地。工作要求：1. 2-3年以上人力资源专业经验，在招聘、培训、绩效、其中两个模块有丰富实践经验，扎实的专业功底，获得人力资源管理师（中级）者优先；2. 优秀的个人综合素质，有较强的事业心与成就动机；3. 沟通和推动能力强，出色的多任务、多角色平衡能力。分享微信邮件
                            ",,,不限,无,0人,家具/家电,100-499人,,
人力资源业务伙伴HRBP,"12-24万
                                        

"," 
上海-长宁区
",本科及以上,经验不限,普通话,年龄不限,"领导好,技能培训,岗位晋升,发展空间大 ,",工作职责：1、协助事业部负责人制定战略目标，结合战略目标制定人力资源规划；2、负责事业部人才管理：发展和保留优秀人才，构建人才梯队；3、根据业务需要，负责组织设计和组织发展；4、针对事业部发展过程中遇到的问题、挑战、机遇，结合人力资源理论知识，提出针对性的解决方案；5、负责事业部团队文化建设；,"资格：1、本科以上学历，人力资源管理、心理学相关专业；2、具有5年以上工作经验、且有连锁行业或国际酒店行业相关经验者优先考虑；3、具有良好的沟通能力、组织协调能力、影响力、商业敏感度和战略思维；4、熟练掌握人力资源管理理论知识，熟悉人力资源相关法律法规；分享微信邮件
                            ",,不限,无,0人,旅游/酒店/餐饮服务/生活服务,10000人以上,30%,
hrbp,"

我感兴趣 请联系我
","
深圳-龙岗区
        ",本科,2年经验,,,,"
       工作职责1、负责公司相关HR政策、制度、体系与重点项目在所属业务领域内部的落地与推动执行； 2、深入了解所负责领域业务与人员发展状况，评估并明确组织与人才发展对HR的需求； 3、驱动平台资源提供HR解决方案，并整合内部资源推动执行； 4、提升管理干部的人力资源管理能力，关注关键人才融入与培养，确保持续的沟通与反馈； 5、协助管理层进行人才管理、团队发展、组织氛围建设等，传承公司文化，发扬价值观，确保公司文化在所属业务领域的落地；","资格1、人力资源管理或相关专业本科以上学历； 2、2年以上人力资源工作经验，熟悉人力资源流程体系，在组织发展和人才管理上有扎实的专业性和丰富的实践经验，有互联网公司销售型团队HRBP经验或人力资源变革项目经验者优先； 3、优秀的个人综合素质，有较强的事业心与成就动机； 4、人际理解力、沟通协调能力强，善于整合资源驱动目标达成，出色的多任务、多角色平衡能力深。
      ",,,,,,,,
HRBP（金融）,"面议
                                        

"," 
深圳
",统招本科,3年以上,语言不限,年龄不限,"带薪年假,公司规模大,扁平管理,绩效奖金,五险一金,岗位晋升,定期体检,上市公司,","职责描述：岗位职责:1、理解业务诉求和痛点，结合公司政策，制定HR综合解决方案，实施或推动落地；2、更好的管理、整合、厘清各业务板块所提需求，并跟进落实相关需求；3、跟进管理各业务板块的工作标准、绩效表现、价值输出。岗位要求：1、全日制统招本科以上学历，专业不限；2、5年以上人力资源工作经验，精通绩效激励、研发类岗位价值评估，至少三年以上HRBP工作经验，有互联网金融行业、研发体系HR经验优先；3、具有较强的语言表达能力、人际交往能力、应变能力、沟通能力及解决问题的能力，有亲和力、较强的责任感与敬业精神；4、结果导向性候选人。
                            ",,人力资源部,不限,无,0人,互联网/移动互联网/电子商务,2000-5000人,45%,
系统检测到您账号的操作行为过于频繁，请确认是本人操作，同时不要将账号信息透漏给其他人或其它软件，尽量不要和其他人共用账号，如有以上行为请立即修改密码。,,,,,,,,,,,,,,,,,
大区招聘经理（HRB...,,,,,,,,,,,,,,,,,
系统检测到您账号的操作行为过于频繁，请确认是本人操作，同时不要将账号信息透漏给其他人或其它软件，尽量不要和其他人共用账号，如有以上行为请立即修改密码。,,,,,,,,,,,,,,,,,
HRBP,"面议
                                        

"," 
常州-武进区
",本科及以上,5年以上,语言不限,年龄不限,"带薪年假,通讯津贴,午餐补助,定期体检,节日礼物,管理规范,岗位晋升,五险一金,团队聚餐,发展空间大,优秀员工奖,公司规模大,高科技,领导好,",职责描述：1.深入了解所支持部门的业务状况和运作状况，并整合内部资源，协同HR团队提供符合业务团队个性需求的的HR支持或解决方案； 2.负责所支持部门的招聘、员工关系、培训等人力资源工作，有效推动各项人力资源业务落地，协助业务部门提升组织绩效；3.传承企业文化，通过有效方式，确保企业文化宣贯；4.主动与员工保持沟通，积极听取员工的反馈，确保沟通渠道的畅通；6.其它人力资源支持工作。,"要求：1.统招本科以上学历，5年以上人力资源工作经验,有HRBP从业经验者优先； 2.了解人力资源各模块工作，并具备招聘、绩效、培训、薪酬、员工关系中两个以上人力资源模块的实操经验，熟悉国家相关的政策、法律法规； 3.抗压性强，良好的领导力，具备较强的人际沟通和协调能力，善于思考，有亲和力。
                            ",人力资源部,不限,无,0人,互联网/移动互联网/电子商务,100-499人,94%,
HRBP,,,,,,,,,,,,,,,,,
