职位,薪金范围,所在地,学历,工作年限,语言,年龄,员工福利,岗位职责,任职要求,所属部门,专业要求,汇报对象,下属人数,行业,公司规模,应聘查看率,是否仅限VIP查看
人力资源总监,"12-18万
                                        

"," 
广州
",本科及以上,5年以上,普通话,年龄不限,"领导好,技能培训,岗位晋升,发展空间大,",岗位职责：1、全面统筹规划公司的人力资源战略，根据公司实际情况和发展规划拟定公司人力资源计划，经批准后组织实施，提高公司的综合管理水平；2、根据公司实际情况完善公司人力资源体系，设计人力资源管理模式（包含招聘、绩效、培训、薪酬及员工发展等体系的全面建设），制定和完善人力资源制度，经批准后组织实施；3、研究设计各岗位绩效考核方案并负责组织实施；4、根据公司架构情况及市场行情制定薪酬体系，经批准后组织实施；5、制订人力资源部专业培训计划并协助培训部实施、考核；6、塑造、维护、发展和传播企业文化；7、及时处理公司管理过程中的重大人力资源问题；8、加强与公司外同行之间的联系；9、代表公司与政府对口部门和有关社会团体、机构联络；10、完成总经理临时交办的各项任务。,"要求：1、大专及以上学历，人力资源或管理类相关专业优先。2、5年以上制造工厂相关工作经验，3年以上人力资源总监或5年以上人事经理工作经验；3、精通国家及广州市相关劳动人事政策规定，熟悉现代企业人力资源管理实务。4、具有战略、策略化思维，具有较强的分析、解决问题的能力；5、具有很强的激励、沟通、协调及团队领导能力，具有很强的责任心和事业心。6、能够快速了解业务，并将人事工作与业务需求有机结合。分享微信邮件
                            ",人力中心,不限,无,0人,电子技术/半导体/集成电路,100-499人,88%,
人力资源总监,"10-12万
                                        

"," 
上海
",本科及以上,5年以上,语言不限,年龄不限,"绩效奖金,带薪年假,节日礼物,岗位晋升,五险一金,发展空间大,","人力资源总监岗位职责a 负责编制学校人力资源规划,监督计划执行情况b 建立完善的人力资源招聘体系，优化招聘流程以及招聘效果的分析c 建立好学校人才库，做好人才的储备和选拔d 指导合同管理工作e 组织学校老师的考评工作f 组织教师培训g 组织和推动学校文化建设h 校长交办的其他事项岗位要求：(1)本科及以上学历(2)良好的英语书面表达和沟通能力(3)工作责任心强、沟通能力强(4)较强的团队管理能力，能调动起团队成员的积极性，有较强的协调能力(5)具有良好的职业素养和专业精神(6)能承受强大的工作压力(7)五年以上学校人力资源管理经验优先(8)有二级人力资源管理师优先
                            ",,行政人事,不限,无,0人,教育/培训/学术/科研/院校,100-499人,47%,
人力资源总监,"24-36万
                                        

"," 
上海
",本科及以上,5年以上,语言不限,年龄不限,"五险一金,绩效奖金,带薪年假,免费班车,年度旅游,节日礼物,",岗位职责：1、全面负责公司人力资源工作，保证满足公司发展的人才需要；统筹规划人力资源开发及战略管理，拟定人力资源规划方案；2、根据公司业务战略规划，建立并完善人力资源管理体系，制定和完善人力资源管理制度；3、向公司决策层提供人力资源、组织机构等方面的建议并致力于提高公司综合管理水平，控制人力资源成本；4、及时处理公司管理过程中的重大人力资源问题，指导员工职业生涯规划，建立和谐高效劳动关系，建设公司的整体企业文化；5、协助完成集团人力资源相关工作；6、负责完成公司或总经理安排的其他工作 。,"资格：1、大学本科以上学历，五年以上人力资源或同等职能管理岗位工作经验；2、熟悉掌握人事人才政策与管理实务、人力资源管理等内容，熟悉国家相关劳动用工法律法规及政策；3、对人力资源管理及六大模块有系统的了解（或相关针对模块）和实践经验；4、具有较强的逻辑判断能力，应变能力强，能及时有效处理并解决问题。
                            ",人事部,不限,无,0人,房地产服务(物业管理/地产经...,1000-2000人,33%,
人力资源总监,"面议
                                        

"," 
昆山
",统招本科,8年以上,语言不限,年龄不限,"带薪年假,绩效奖金,通讯津贴,午餐补助,节日礼物,团队聚餐,五险一金,岗位晋升,年终奖金,发展空间大,健康体检,周末双休,",岗位职责：1、	全面统筹规划集团人力资源发展战略，拟定人力资源规划方案，并监督实施；2、	构建和完善适应公司发展的人力资源管理体系，强化人力资源管理的专业性和规范性，并负责监督、指导人力资源管理制度和流程的执行，提升公司核心竞争力；3、	负责指导人力资源整体预算的制定，监控人力资源成本费用支出；4、	参与公司经营管理及重大问题决策，为公司管理层决策者提供人力资源战略、规划、组织建设等方面的建议与意见；5、	规划和完善公司中高层管理人员和关键员工的选、用、育、留制度，协助各级领导做好招聘、配置、考核、培训、职业发展规划等工作；6、	部门内部管理工作，确保人力资源制度政策在总部及各分公司/基地的执行，提高其运营能力；7、	负责审阅人力资源的各类管理报表，及时发现重要问题，并组织力量快速有效地解决问题。,"资格：1、	本科及以上学历，人力资源管理类等相关专业；2、	五年以上光伏行业人力资源管理工作经验；3、	具有丰富的理论基础和实践经验，熟悉相关劳动人事政策，相关劳动法律法规；4、	具备良好的语言、文字表达能力，良好的分析和解决复杂问题能力。
                            ",人力资源部,不限,集团副总,7人,新能源,500-999人,37%,
系统检测到您账号的操作行为过于频繁，请确认是本人操作，同时不要将账号信息透漏给其他人或其它软件，尽量不要和其他人共用账号，如有以上行为请立即修改密码。,,,,,,,,,,,,,,,,,
人力资源总监,"24-36万
                                        

"," 
北京
",本科及以上,10年以上,语言不限,年龄不限,"五险一金,绩效奖金,年度旅游,带薪年假,生育补贴,发展空间大,公司规模大,午餐补助,岗位晋升,技能培训,",职责描述：1、根据公司战略目标，制订和推行年度人力资源工作计划；2、从人力资源角度出发，为公司战略计划提出建设性意见；4、根据公司发展需要及时对公司人力资源制度做出相应调整，实现人均产值的逐年提升；3、为人力资源各模块工作提供指导性意见；4、监督人力资源部各模块工作落实，对人力资源部工作结果负责；,"要求：1、本科及以上学历；2、15年以上人力资源工作经验，其中7年以上管理岗位工作经验；3、5年以上规模1千人以上零售型公司人力资源工作经验，熟悉零售型企业经营模式；4、具备经营管理、法律、谈判技巧、财务管理等相关知识；熟悉国家劳动政策法规；5、具备非常好的沟通能力和良好的职业素养。
                            ",人力资源部,不限,董事长,8人,服装服饰/纺织/皮革,1000-2000人,30%,
人力资源总监,"18-30万
                                        

"," 
上海
",统招本科,3年以上,语言不限,年龄不限,"五险一金,年度旅游,午餐补助,领导好,带薪年假,绩效奖金,团队聚餐,优秀员工奖,发展空间大,外派津贴,",职责描述：1、参与制定人力资源战略规划，为重大人事决策提供建议和信息支持 2、组织制定、执行、监督公司人事管理制度 3、协助人力资源总监做好相应的职位说明书，并根据公司职位调整需要进行相应的变更，保证职位说明书与实际相符 4、根据部门人员需求情况，提出内部人员调配方案（包括人员内部调入和调出），经上级领导审批后实施，促进人员的优化配置；与员工进行积极沟通 5、制定招聘计划、招聘程序，进行初步的面试与筛选，做好各部门间的协调工作等 6、根据公司对绩效管理的要求，制定评价政策，组织实施绩效管理，并对各部门绩效评价过程进行监督控制 7、制定薪酬政策和晋升政策，组织提薪评审和晋升评审，制定公司福利政策，办理社会保障福利 8、组织员工岗前培训、协助办理培训进修手续 9、配合总经理做好各种职系人员发展体系的建立，做好人员发展的日常管理工作 10、完成总经理交办的其他工作,"要求：人力资源主管  职位要求1、本科或以上学历2、3年以上相关工作经验 3、受过现代人力资源管理技术、劳动法律法规、财务会计基本知识等方面的培训  4、熟悉公司业务和运营流程，具备良好的语言表达与组织、协调能力 5、电脑操作熟练，掌握office等办公软件 6、适应周六加班
                            ",人力资源部,不限,无,0人,贸易/进出口,1-49人,71%,
人力资源总监,"18-30万
                                        

"," 
北京
",统招本科,5年以上,普通话,年龄不限,"年度旅游,节日礼物,扁平管理,五险一金,团队聚餐,带薪年假,定期体检,岗位晋升,股票期权,绩效奖金,交通补助,通讯津贴,弹性工作,上市公司,发展空间大,书本津贴,",工作内容：1、全面统筹规划公司人力资源战略：建立完善公司人力资源管理体系，制定和完善人力资源管理制度（包含招聘、绩效、培训、薪酬及员工发展等体系的全面建设）；2、能够提供相关人力资源战略、组织建设等建议，致力于提高公司的综合管理水平；3、组织制定公司人力资源发展的各种规划，并监督执行计划的实施；4、塑造、维护、发展和传播企业文化，能够及时处理公司重大人力资源问题。 ,"资格：1、本科及以上学历，人力资源、管理或相关专业；2、具备管理经验，五年以上相关岗位经验；3、有战略管理、战略人力资源管理、组织变革管理、管理能力开发等方面的培训；4、熟悉现代企业人力资源管理模式，熟悉公司日常管理工作流程，具有丰富的实践经验；5、熟悉合同管理、薪金制度、用人机制、保险福利待遇、培训等相关法律法规及政策；6、具备优秀的沟通协调能力，一定的文字表述能力。
",人力资源部,不限,总经理,4人,影视/媒体/艺术/文化/出版,100-499人,68%,
系统检测到您账号的操作行为过于频繁，请确认是本人操作，同时不要将账号信息透漏给其他人或其它软件，尽量不要和其他人共用账号，如有以上行为请立即修改密码。,,,,,,,,,,,,,,,,,
人力资源总监,"24-36万
                                        

"," 
海南省
",统招本科,8年以上,普通话,30-45岁,"绩效奖金,交通补助,五险一金,岗位晋升,技能培训,管理规范,定期体检,节日礼物,扁平管理,","1、完善人力资源管理体系，研究、设计人力资源管理模式（包含招聘、绩效、培训、薪酬及员工发展等体系的全面建设），修正和完善人力资源管理制度。2、向公司高层决策者提供有关人力资源、组织建设等方面的建议，为重大人事决策提供建议和信息支持。根据部门人员需求情况，提出内部人员调配方案，经总经理审批后实施，促进人员的优化配置。3、制定和完善行政管理制度，进行日常行政工作、车辆工作的组织与管理，为其他部门提供及时有效的行政服务。
",,高级管理人员,不限,总经理,3人,房地产开发/建筑/建材/工程,100-499人,,
