职位,薪金范围,所在地,学历,工作年限,语言,年龄,员工福利,岗位职责,任职要求,所属部门,专业要求,汇报对象,下属人数,行业,公司规模,应聘查看率,是否仅限VIP查看
系统检测到您账号的操作行为过于频繁，请确认是本人操作，同时不要将账号信息透漏给其他人或其它软件，尽量不要和其他人共用账号，如有以上行为请立即修改密码。,,,,,,,,,,,,,,,,,1
高级人力资源经理,"
                    	40-70万
                    ",北京,学历不限,2年以上,语言不限,20-50岁,,"
               1.根据平台的业务策略和HR策略，负责BU全模块工作，包括OD、OC、ER、CB等相关领域2.根据平台的业务需要和COE策略，设计、落地相关项目3.随着集团的管理节奏和业务节奏，落地集团的COE相关项目4.带领团队推进日常的BP相关的工作","要求：
            ",人力资源部,不限,CEO,15人,,,"
100%
							",1
人力资源总经理,"
                    	80-110万
                    ",北京,本科及以上,5年以上,语言不限,35-45岁,,"
               1. 知名院校本科以上学历，研究生/MBA学历为佳，专业不限2. 知名公司背景，5年以上大型集团公司HRD/高级HR经理工作经验3. 40岁左右，男女不限4. 对于行业没有严格限制，但是服务过的公司要有实业背景，对于工厂不陌生5. 踏实、严谨、务实的工作风格
            ",,人力资源部,不限,副总裁,20人,,,"
95%
							",1
人力资源部 经理,"
                    	30-40万
                    ",上海,统招本科,5年以上,语言不限,30-40岁,,"
               1、负责公司人力资源管理的规范、提出完善意见；2、负责公司人力资源规划的分解、实施；3、负责中高层干部招聘及日常管理；4、负责人才维护与培养、选拔基础工作；5、负责公司薪酬管理与发放工作。6、负责公司人力资源工作的正常运行；7、负责公司组织架构、人员编制、岗位说明书的编制、修改、控制。8、规划、指导、监督、协调各事业部人力资源工作；9、完成领导交办的事务。
            ",,人力,不限,HRD,0人,,,"
100%
							",1
高级人力资源经理,"
                    	20-40万
                    ",北京,学历不限,3年以上,语言不限,25-40岁,,"
               1、负责公司外部招聘及内部选拔工作：根据公司发展和业务需要，分析人力资源需求，制定并实施招聘计划；2、完善公司招聘制度、招聘流程和招聘体系；3、拓展并维护招聘渠道及相关资源，调研了解业内人才动态，建立后备人才选拔和储备机制；4、负责办理新员工入职事宜，在授权范围内为员工答疑解惑。 
",,人事部,不限,人力资源总监,0人,,,"
87%
							",1
人力资源总经理,"
                    	20-40万
                    ",辽宁省,本科及以上,5年以上,语言不限,27-45岁,,"
               岗位职责：1.根据公司发展规划和人力资源战略规划，制定人力资源管理政策，方向以及组织实施； 2.全面统筹公司本部及下属企业的人力资源管理工作；3.进行公司人力资源制度与体系建设，完善现有薪资福利体系，绩效管理体系，培训开发与组织发展体系； 4.根据岗位需求状况和人力资源规划，制定招聘计划，实施人才发展储备计划；5.根据公司人力资源政策与制度，对下属企业的人力资源工作进行指导与监督；6.负责集团人才盘点、人才梯队建设，特别是中层和管理培训生的培养。","资格：1、45岁以下，全日制本科及以上学历，人力资源等管理类专业； 2、5年以上人力资源管理工作经验，三年以上人力资源总监或部门负责人岗位工作经验，熟悉人事行政管理的各方面的事务，有人力资源相关证书优先；3、具备现代人力资源管理理论、技能和实践经验，熟悉劳动法律法规；4、对人力资源管理各职能模块（招聘、培训、绩效、薪酬、考核、员工职业生涯规划）均有较丰富的操作经验和管理能力，并能有效开展各职能模块的工作；5、具有战略、策略化思维，有能力建立、整合不同的工作团队。
",管理部,不限,总经理,10人,,,"
93%
							",1
人力资源高级经理,"
                    	30-45万
                    ",深圳,统招本科,10年以上,语言不限,35-40岁,,"
               有丰富的薪酬、绩效、培训体系搭建经验，熟悉","资格管理和企业文化建设。能适应快速发展的公司节奏，愿意在创业型公司与公司共发展。
            ",人事部,不限,集团总经理,0人,,,"
88%
							",1
人力资源部经理,"
                    	25-35万
                    ",广东省,大专及以上,8年以上,语言不限,30-45岁,,"
               1、 参与制定人力资源战略规划，为重大人事决策提供建议和信息支持；2、 组织制定、执行、监督公司人事管理制度；3、 做好相应的职位说明书，根据公司职位调整需要进行相应的变更，保证职位说明书与实际相符；4、 根据部门人员需求情况，提出内部人员调配方案（包括人员内部调入和调出；，促进人员的优化配置；5、 与员工进行积极沟通；6、 制定招聘计划、招聘程序，进行初步的面试与筛选，做好各部门间的协调工作等；7、 根据公司对绩效管理的要求，制定评价政策，组织实施绩效管理，并对各部门绩效评价过程进行监督控制，及时解决出现的问题，使绩效评价体系能够落到实处，并不断完善绩效管理体系；8、 制定薪酬政策和晋升政策，组织提薪评审和晋升评审，制定公司福利政策，办理社会保障福利；9、 组织员工岗前培训、协助办理培训进修手续；10、做好主管级以上人员的梯队建设，做好人员发展的日常管理工作；11、完成总经理交办的其它工作。
            ",,人力资源部,不限,总经理,0人,,,"
100%
							",1
系统检测到您账号的操作行为过于频繁，请确认是本人操作，同时不要将账号信息透漏给其他人或其它软件，尽量不要和其他人共用账号，如有以上行为请立即修改密码。,,,,,,,,,,,,,,,,,1
人力资源助理经理,"
                    	15-25万
                    ",重庆,统招本科,5年以上,语言不限,25-36岁,,"
               1、根据公司经营策略和发展目标，制定相适应的人力资源管理规划；2、建立健全人事管理制度，贯彻执行公司的各项规章制度；3、制定人事工作计划，按照各部门的用人标准、条件、招聘、录用各类人员，保证各部门正常运转。组织招聘、培训、绩效考核等工作的实施；4、负责员工入职、转正、职薪调整、离职流程建立及实施细节监督。根据政策、市场因素，完善公司发展阶段的薪资体系，运用好公司的报酬及福利政策；5、负责人事档案的建立、完善和及时更新；6、负责人才储备体系的建立和完善；7、负责劳动关系流程的规范及劳动纠纷的处理；8、负责本部门团队建设及人员合理分工，并负有指导及监督职责；9、办公室日常事务的管理及领导交办的其他事项。
            ",,人力资源部,不限,人事行政总监,0人,,,"
96%
							",1
