职位,薪金范围,所在地,学历,工作年限,语言,年龄,员工福利,岗位职责,任职要求,所属部门,专业要求,汇报对象,下属人数,行业,公司规模,应聘查看率,是否仅限VIP查看
人力资源副总裁HRVP,"
                    	100-150万
                    ",北京,统招本科,8年以上,语言不限,35-43岁,,"
               工作职责：1，根据集团发展战略提出并形成人力资源战略，指导人力资源规划，制定并落实中，长期人力资源发展计划； 2，优化人力资源管理体系，组织制定并实施人力资源管控措施（包含招聘，培训，绩效，薪酬及员工发展等）；3，提升集团人才储备能力，完善人才梯队建设； 4，定期向高层决策者提供有关人力资源战略、品牌建设、组织建设、行政管理等方面的专项建议，为公司重大决策提供信息支持；5，负责集团企业文化建设、人力资源管理，及时应对并妥善处理公司人力资源管理中的重大问题。 ","资格:1，36—43岁，本科以上学历，专业不限，名校优先；2，国内多元化集团大型企业担任过人力资源一把手职位，具有国际化视野；3，具有战略思维，有能力建立，整合不同的工作团队；4，主导过人力资源变革，对先进的人力资源理念有比较深入理解及应用；5，专业、正直、积极，具备良好的人际交往能力，组织协调能力，沟通能力以及解决复杂问题的能力。 
            ",人力资源中心,不限,董事局主席,30人,,,"
81%
							",1
系统检测到您账号的操作行为过于频繁，请确认是本人操作，同时不要将账号信息透漏给其他人或其它软件，尽量不要和其他人共用账号，如有以上行为请立即修改密码。,,,,,,,,,,,,,,,,,1
HRVP/人力资源副总裁,"
                    	180-200万
                    ",上海,学历不限,10年以上,语言不限,38-48岁,,"
               职位描述：1、参与集团发展规划的拟定、年度经营计划的编制和集团重大决策事项的讨论，为公司董事会专业决策提出专业意见或建议； 2、统筹设计、规划集团人力资源开发及战略管理，组织制定集团人力资源中长期规划和年度计划，确定人力资源规划方案，并监督各项计划的实施； 3、对集团行政及人事管理体系建设提出建议，建立、优化集团行政管理的管控模式和管控系统，提高公司的综合管理水平；4、建立并完善人力资源管理体系，研究、设计人力资源管理模式，为集团重大人事决策提供建议和信息支持； 5、统筹集团各项人力资源管理工作，提高组织运行效率，保证组织良好的运作机能；6、负责集团内部工作关系的协调，及时处理集团公司管理过程中的重大人力资源问题，并负责集团重大事件的沟通、协调、处理与汇报。","要求：1、人力资源管理或相关专业本科以上学历；2、具备15年以上的全面人力资源管理经验，具备8年以上大型企业人力资源总监或人力资源副总裁工作经验3、了解现代企业人力资源管理模式和实践经验积累，对人力资源管理各个职能模块均有较深入的认识，熟悉国家相关的政策、法律法；4、很强的计划性和实施执行的能力；有亲和力，很强的激励、沟通、协调、团队领导能力，责任心、事业心；5、具备良好的人际交往能力、组织协调能力、沟通能力以及解决复杂问题的能力。
            ",总经办,不限,董事长,0人,,,"
100%
							",1
HRVP,"
                    	200-260万
                    ",北京,硕士及以上,10年以上,英语 + 普通话,35-40岁,,"
               1、组织制定人力资源整体战略规划和组织规划；2、制定并完善薪酬考核、招聘、培训及人事管理等制度；3、拟订人力资源成本预算，监督控制预算的执行；4、指挥、协调和控制集团总部及各分公司人力资源部门薪酬、招聘、培训以及绩效、员工关系等方面的工作；5、负责工作分析、岗位说明书与定岗定编工作，对公司组织结构设计提出改进方案；6、招聘优秀管理团队，实施人才发展储备计划，为公司主管以上的管理者进行职业生涯规划设计；7、管理本部门日常工作，负责本部门员工工作考核、激励及部门资金的预算和控制等；8、组织和推动企业文化建设；
",,人力资源部,人力资源管理、企业管理及心理学专业相关优先,CEO,0人,,,"
<15%
							",1
首席人力资源官CHO/HRVP,"
                    	80-110万
                    ",北京,本科及以上,10年以上,语言不限,30-48岁,,"
               职责描述：1、负责集团人力资源政策、规划制定和落实；2、负责集团人力运营职系年度计划和预算的制定；3、负责集团组织发展、人力资源策略、体系、制度、流程的设计并组织实施。4、负责组织拟定集团各中心及并推动各产业中心的组织机构/职能/岗位设置等组织系统建设；5、负责组织设计集团职位体系； 6、负责集团本部各级干部及产业集团总监级以上的干部的管理工作（干部评价、激励、竞争和淘汰、异动、发展和成长等）；7、负责干部测评体系的建立和组织实施（能力素质模型、测评技术开发、人才盘点）；8、负责员工职业生涯规划管理；9、负责集团本部储备干部的管理（储备干部的选拔、评估、发展等）；10、负责个人绩效体系设计、优化和实施；11、负责薪酬体系设计、优化和实施；","要求：1、本科及以上学历，人力资源、管理或相关专业； 2、集团性人力资源工作8年以上，同岗位工作经验3年；3、具有战略管理、战略人力资源管理、组织变革管理、管理能力开发等方面的知识及技能； 4、对现代企业人力资源管理模式有系统的了解和实践，熟悉人力资源日常管理工作流程，擅长企业文化塑造及员工培训管理；5、精通人力资源战略规划、组织设计、人力资源体系设计、薪酬福利体系设计、素质模型开发等；
            ",人力资源部,不限,副总裁,0人,,,"
<15%
							",1
系统检测到您账号的操作行为过于频繁，请确认是本人操作，同时不要将账号信息透漏给其他人或其它软件，尽量不要和其他人共用账号，如有以上行为请立即修改密码。,,,,,,,,,,,,,,,,,1
HRVP,"
                    	100-150万
                    ",北京,本科及以上,15年以上,语言不限,40-45岁,,"
               职责一：根据公司发展战略组织制定人力资源战略规划与年度工作计划1：组织调查公司人力资源现状2：根据公司战略发展规划分析人力资源现状确定公司人力资源需求情况3：组织拟定人力资源招聘计划以及内部员工调配计划4：组织制定短、中、长期人力资源开发计划职责二：制定公司各项人力资源管理制度和流程规范公司人力资源管理体系1：建立规范化的招聘体系并组织实施员工的招聘和任命工作2：根据部门人员需求情况提出员工调配方案（包括人员内部调入和调出）经上级领导审批后实施促进人员的优化配置3：组织公司薪酬福利体系的建立、优化依据公司的经济效益情况调整员工的薪酬福利待遇4：建立绩效管理体系全面推行绩效管理组织公司绩效考核工作 5：组织公司员工的培训工作6：提出机构设置和岗位职责设计或改进方案职责三：负责本部门的日常管理以及与相关部门的协调工作1：控制部门预算降低费用成本2：负责部门内工作任务的分工合理安排配置人员3：组织对本部门员工队伍培训和评价考核工作4：维护、协调公司与政府相关部门和人才机构的关系.","资格:1. 人力资源、管理或相关专业背景，本科及以上学历；2. 15年以上HR相关工作经验，三年以上上市公司人力资源总经理工作经验，负责过大型公司的全面HR管理；经历过公司的快速成长和扩张阶段；3. 对人才管理系统和扎实的理解，以及实践经验积累，有先进的人才管理理念，面向未来。能够指导各个职能模块的工作；4. 具有战略思维，善于学习 ，问题解决导向，快速反应，跨界沟通协调，促进建立与整合不同的工作团队；5. 具备较强的计划性和实施执行的能力；对工作充满热情、富有挑战精神和创新意识。
            ",人力资源部,不限,集团分管副总裁,50人,,,"
100%
							",1
系统检测到您账号的操作行为过于频繁，请确认是本人操作，同时不要将账号信息透漏给其他人或其它软件，尽量不要和其他人共用账号，如有以上行为请立即修改密码。,,,,,,,,,,,,,,,,,1
HRVP,"
                    	180-210万
                    ",北京,统招本科,15年以上,英语,35-45岁,,"
               岗位职责：1、 全面负责公司人力资源管理工作，制订适合公司发展的人力资源整体规划；2、 健全完善绩效管理体系，制订薪酬、福利、激励设计，设计公平合理、有竞争力的方案；3、 根据公司业务发展需要，制订招聘计划，完善招聘流程体系，组织架构的合理调整；4、 健全完善公司的培训机制，组织实施公司各类培训工作，并对培训效果进行调研和评估；5、 拟定人力资源管理策略的调整方案，为总经理重大的管理决策提供有效的参考和依据6、对公司组织架构的调整提供合理建议，规避人才管理风险，构建人才梯队，人才储备等。","要求：1、35~45岁，本科以上学历，人力资源相关专业；英语熟练；2、10年以上人力资源管理岗位经验；知名公司HRVP, HRD经验有限；3、精通现代人力资源管理模式，能指导各个职能模块的工作； 4、熟悉国家地区薪金制度、用人机制、保险福利待遇、培训等方面的法律法规及政策；5、有股权激励机制设计经验，熟悉上市公司的人力资源管理；6、专业自信；性格开朗，工作严谨，有自驱力，能承受工作压力。
            ",人力资源管理部,不限,CEO,30人,,,"
100%
							",1
HRVP,"
                    	80-100万
                    ",北京,统招本科,8年以上,语言不限,30-50岁,,"
               企业要求：HRVP（HRSVP）1、人力资源管理专业或者系统学习过人力资源管理。2、人力资源管理从业15年以上，具有丰富团队管理经验。3、男女不限，行业不限，本科及以上学历，年龄40-50。4、低调务实 吃苦耐劳 积极上进 态度端正 形象较好。5、亲和力好 情商高 学习力好 具有较高沟通协调能力。6、要求有世界500强或者中国100强企业人力一把手从业经验。7、做集团人力总经理不能低于3年，必须是人力一把手。8、具有战略高度和系统化人力资源管理思维。9、认可汉能，态度第一，形象第二，能力第三！
            ",,行政人事部,不限,主席,0人,,,"
50%
							",1
HRVP,"
                    	80-100万
                    ",北京,统招本科,8年以上,语言不限,30-50岁,,"
               企业要求：HRVP（HRSVP）1、人力资源管理专业或者系统学习过人力资源管理。2、人力资源管理从业15年以上，具有丰富团队管理经验。3、男女不限，行业不限，本科及以上学历，年龄40-50。4、低调务实 吃苦耐劳 积极上进 态度端正 形象较好。5、亲和力好 情商高 学习力好 具有较高沟通协调能力。6、要求有世界500强或者中国100强企业人力一把手从业经验。7、做集团人力总经理不能低于3年，必须是人力一把手。8、具有战略高度和系统化人力资源管理思维。9、认可汉能，态度第一，形象第二，能力第三！
            ",,行政人事部,不限,主席,0人,,,"
<15%
							",1
