职位,薪金范围,所在地,学历,工作年限,语言,年龄,员工福利,岗位职责,任职要求,所属部门,专业要求,汇报对象,下属人数,行业,公司规模,应聘查看率,是否仅限VIP查看
系统检测到您账号的操作行为过于频繁，请确认是本人操作，同时不要将账号信息透漏给其他人或其它软件，尽量不要和其他人共用账号，如有以上行为请立即修改密码。,,,,,,,,,,,,,,,,,
猎头顾问,"

我感兴趣 请联系我
","
南京
        ",本科,经验不限,,,,"
       1、根据岗位要求搜索候选人信息、整理
2、热爱快节奏工作氛围
3、有团队合作意识，抗压能力强
      ",,,,,,,,,
猎头顾问助理,"

我感兴趣 请联系我
","
上海
        ",大专,1年经验,,,,"
        [岗位职责]
1，负责猎头业务开拓及招聘项目执行工作;
2，与客户方工作对接,进行职位需求分析,必要时为客户提供一定的咨询和引导;
3，通过各种渠道寻访合适的候选人或指导助理完成寻访工作;
4，对候选人进行初步面试,将合适的人选推荐给客户面试,及时解决面试过程中遇到的问题;
5，薪酬谈判，候选人背景调查;
6，候选人入职前中后期的跟踪,并为候选人提供相应的职业发展建议。

 [","资格]
1，24-30岁大专及以上学历;1-3年以上人力资源,销售,咨询等工作经验优先;
2，善于学习,有较强的责任心和抗压能力;
3，善于分析人才,准确定位人才,为客户企业筛选合适候选人;
4，熟悉金融、互联网、房地产、教育等其中一个行业,对主要岗位的工作职责和",,,,,,,,
猎头顾问,"

我感兴趣 请联系我
","
上海
        ",本科,3年经验,,,,"
        [岗位职责]
1，负责猎头业务开拓及招聘项目执行工作;
2，与客户方工作对接,进行职位需求分析,必要时为客户提供一定的咨询和引导;
3，通过各种渠道寻访合适的候选人或指导助理完成寻访工作;
4，对候选人进行初步面试,将合适的人选推荐给客户面试,及时解决面试过程中遇到的问题;
5，薪酬谈判，候选人背景调查;
6，候选人入职前中后期的跟踪,并为候选人提供相应的职业发展建议。

 [","资格]
1，24-30岁大专及以上学历;1-3年以上人力资源,销售,咨询等工作经验优先;
2，善于学习,有较强的责任心和抗压能力;
3，善于分析人才,准确定位人才,为客户企业筛选合适候选人;
4，熟悉金融、互联网、房地产、教育等其中一个行业,对主要岗位的工作职责和",,,,,,,,
猎头顾问,"

我感兴趣 请联系我
","
贵阳-南明区
        ",本科,1年经验,,,,"
       1.理解客户招聘条件进行人才搜寻，简历筛选，联系候选人并进行深入了解沟通，判断是否与职位匹配。
2.推荐给企业方，安排面试时间等后续跟进工作。
3.协调配和公司其他顾问完成相关工作
5.积极使用内部管理系统，实现资源共享
6.制定季度、月度工作计划

","资格：
1，本科以上学历，1年以上工作经验，有招聘经验优先
2，性格开朗乐观，善于沟通，思维表达能力清晰，责任心强，为人真诚，人品正直。
3，对猎头、招聘行业感兴趣，希望长期发展。
3，希望在贵阳长期稳定发展。

加入我们的理由：
1，公司提供五险一金，补充商业保险
2，丰厚的提成奖金，弹性工作制
3，节日福利，员工旅游，定期体检，带薪年假等
4，能接触到各行业优秀的人才，自身能得到锻炼与成长，一个能长远发展的行业
4，老板超好同事超可爱，轻松快乐的工作氛围

 如茵人才是一家由资深HR人士组建成立的猎头公司，于2006年注册成立上海露茵企业管理咨询公司，2011年注册上海如茵人才服务公司，获得人才中介资质。公司成立以来，专注于ICT、咨询、制造业、地产金融行业以及各行业公司通用中高级管理职位的人才推荐服务，被多家公司评为金牌供应商。
      ",,,,,,,,
猎头顾问/助理,"

我感兴趣 请联系我
","
北京
        ",大专,经验不限,,,,"
       1、负责目标行业客户信息分析，研究客户需求；
2、负责市场拓展，与客户建立委托招聘协议，并维系良好的客户关系；
3、从客户端收集、分析客户需求的详细信息并实施有效的招聘行动；
4、从客户的招聘需求中确认职位所需的能力及资历，分析市场并确立搜寻的方向及目标
5、指导助理利用有效工具，有计划的进行搜索、筛选候选人；
6、准确地传达客户的招聘需求，为候选人做面试、评估，通过有效的匹配工作来确定合适的候选人；
7、进行人选的薪资协调及谈判工作；
8、跟踪服务所有已成功结束的项目，后期的跟踪服务主要目的是让已推荐的人选更好融入企业。


企业背景：公司成立于2008年5月，总部设在北京，全国25个省，直辖市及香港特别行政区、美国旧金山、英国伦敦、日本东京等45个城市设有100多家分支机构，2015年锐仕方达获评中国首家AAAA级猎头评级，目前专职猎头团队超过3000人。



如果你希望一个好的发展平台和机会，你想要高的薪资，你想要成功，那么请联系我，这里都能给你。天道酬勤，我们一起努力，创造一个更好的未来
      ",,,,,,,,,
招聘高级经理（猎头优先考虑）,"

我感兴趣 请联系我
","
北京
        ",本科,5年经验,,,,"
       职位信息
1、根据业务需求和公司编制预算限定，确定部门招聘需求，制定招聘方案并实施招聘；
2、调查公司所需人才的外部人力资源存量与分布状况，并进行有效分析，对招聘数据进行收集和整理，支持招聘渠道建设；
3、负责招聘广告的撰写，发布职位需求信息，做好公司形象宣传；
4、利用招聘资源寻找合适候选人，组织面试安排，对应聘者进行面试考核，出具综合评价意见；
5、总结招聘工作中存在的问题，提出优化招聘制度和流程的合理化建议，完成招聘分析报告。
","要求：
1、本科以上学历，5年以上猎头工作经验，善于挖掘高端人才的心理，对高端人才猎取有较出色的成绩
2、较强的表达能力、判断能力；
3、结果导向，成就感来自结果实现而非完成过程；
4、主动性强，对人对事有自己的独立判断和见解，并主动沟通以推动或执行
5、能够承受工作压力、善于学习、相关人脉资源丰富。

      ",,,,,,,,
海外猎头顾问,"

我感兴趣 请联系我
","
北京-东城区
        ",本科,经验不限,,,,"
       1、负责目标职位的需求分析及信息整理；
2、负责市场拓展，与客户建立委托招聘协议，并维系良好的客户关系；
3、从客户端收集、分析职位及需求的详细信息并实施有效的招聘行动；
4、从招聘需求中确认职位所需的能力及资历，分析市场并确立搜寻的方向和目标；
5、指导助理利用有效工具，有计划的进行搜索、筛选候选人；
6、准确地把握招聘需求，通过有效的匹配工作来确定合适的候选人；
7、进行人选的薪资协调及谈判工作；
8、跟踪所有已成功结束的职位，后期的跟踪服务主要目的是让候选人更好融入企业；
9、表现优秀者可到美国参与每年海外招聘活动现场
      ",,,,,,,,,
猎头顾问,"

我感兴趣 请联系我
","
上海-闵行区
        ",本科,2年经验,,,,"
       1.按照客户的描述，做客需分析，脑海绘制mapping
2.跟进职位的招聘流程，对候选人做评估并市场反馈沟通
3.多码人，码优秀的人，保证足够的人才库
4.及时了解客户对候选人的反馈，保证客户招聘职位的交付

我们希望你可以是这样的
1.大专以上学历，人力资源或市场销售类专业优先
2.性格外向，能快速融入团队并且热爱集体活动
3.有毅力的90后，有冲劲儿
4.三观正 三观正 三观正
      ",,,,,,,,,
猎头顾问,"

我感兴趣 请联系我
","
西安
        ",本科,1年经验,,,,"
       工作内容:
1通过专业工具,理解客户的招募需求;
2制定人才寻访计划,通过电话 邮件,SNS,转介绍 线下活动等自主完成人才搜罗任务;
3完成对潜在候选人的甄选和评估;
4.参与新客户开发以及业务区域拓展;
5,公司将提供系统的培训,来保证顾问具备相应的工作技能 方法和知识。
职位要求:
1 统招本科及以上学历;至少有1年以上工作经验;
2 有销售经验 咨询经验或人力资源经验者优先;
3逻辑缜密 具有良好的分析判断能力;
4良好的沟通协调能力和心理素质,执行能力强;
5.抗压性强,能够完成公司要求的任务;
6主动性强,能够对工作保有激情,愿意与公司共同成长。

      ",,,,,,,,,
